,Unnamed: 0,ra,dec,u_extendedness,u_mag,g_extendedness,g_mag,r_extendedness,r_mag,i_extendedness,i_mag,z_extendedness,z_mag
20,20,229.2100994486442,5.155457212461745,,,1.0,22.237060093649724,1.0,21.869443342207063,,,1.0,21.14872527426106
21,21,229.2191731105771,5.155486843975451,,,1.0,23.488629968047693,1.0,21.96123581736592,,,1.0,20.643319407999208
22,22,229.22040043482096,5.1569502813586325,,,1.0,23.5178610592223,1.0,23.371287119259453,,,1.0,22.04986518571716
23,23,229.2178710799282,5.1581838022591215,,,1.0,23.97775876668787,1.0,23.527049134220377,,,1.0,22.60872334970773
24,24,229.22631202740376,5.159607755214325,,,1.0,23.107751453249552,1.0,22.24994178035885,,,1.0,21.37357598978056
25,25,229.22483350898986,5.162590522066512,,,1.0,23.16224294259105,1.0,22.82600028454672,,,1.0,21.99041538153853
26,26,229.23511915849508,5.165996504448792,,,1.0,23.70662987598221,1.0,22.943650552341364,,,1.0,22.834333759893354
27,27,229.2220345936468,5.1669536539434215,,,1.0,23.25669072066132,1.0,23.05400669957139,,,1.0,22.289540264576992
28,28,229.2284121281752,5.168770020356657,,,1.0,23.89086975593067,1.0,23.8773328208646,,,1.0,22.76588565133604
29,29,229.2017465627588,5.169782267737523,,,1.0,22.411125535354937,1.0,22.077328122193688,,,1.0,21.745817513915217
30,30,229.22232856198897,5.1702613919890155,,,1.0,25.026376266794298,1.0,22.623049423128123,,,1.0,21.04166232785595
31,31,229.2207846995263,5.172047750062197,,,1.0,25.332437720199444,1.0,23.318376022120223,,,1.0,21.365867687014905
32,32,229.19666872807176,5.171993012305238,,,1.0,23.722908100124656,1.0,23.31613992702824,,,1.0,22.966533891300923
33,33,229.19903550480953,5.173854981502578,,,1.0,22.325963249594928,1.0,21.580302757576813,,,1.0,21.03867302998013
34,34,229.23096868167943,5.173309733615171,,,1.0,21.856958254043285,1.0,21.538672689949216,,,1.0,21.047392547069904
35,35,229.2243934319042,5.1735917523377,,,1.0,22.11721164351554,1.0,21.481891661832982,,,1.0,20.782519171334588
36,36,229.2106114158222,5.173755057242286,,,1.0,23.49043520412888,1.0,23.58511118992529,,,1.0,23.162613571291857
37,37,229.19972710928107,5.176071478745439,,,1.0,23.164983641411236,1.0,22.941758304850744,,,1.0,22.104940282416923
38,38,229.2231443528459,5.181384735416199,,,1.0,20.864929329512044,1.0,20.435320360586395,,,1.0,19.713827425549933
39,39,229.23031799964212,5.176812038954633,,,1.0,24.274050694674717,1.0,23.670591436517245,,,1.0,24.202046195847995
40,40,229.23424607521162,5.176932922210403,,,1.0,24.01975655093846,1.0,23.54187483664418,,,1.0,23.54145029486249
41,41,229.21242187490034,5.177430832491426,,,1.0,22.72084575320333,1.0,21.665158222476823,,,1.0,20.213319900263
42,42,229.19948551862802,5.1784758659740975,,,1.0,24.597303408964954,1.0,23.154244104687937,,,1.0,22.94663165538221
43,43,229.23492690573087,5.178293125221707,,,1.0,21.773997502128854,1.0,21.50399664863452,,,1.0,21.29492957123272
44,44,229.23035785613266,5.179854601525788,,,1.0,22.72832992317476,1.0,21.87283537911118,,,1.0,21.01678330023797
45,45,229.22341376680515,5.183475617075311,,,1.0,24.48016062058208,1.0,23.36646764522916,,,1.0,23.778362437560965
46,46,229.23348381065173,5.184730945552467,,,1.0,21.68540990016187,1.0,20.211713409085952,,,1.0,19.07364229384322
47,47,229.21310942833674,5.186907250993793,,,1.0,21.74881179049562,1.0,21.105305323127254,,,1.0,20.594323723178142
48,48,229.23057659879547,5.186662594375465,,,1.0,24.53971646779168,1.0,23.45462426213878,,,1.0,23.12661677145273
49,49,229.21083463766342,5.18793825210649,,,1.0,23.08721134202983,1.0,22.242984702991123,,,1.0,21.772719167446517
50,50,229.20907400629906,5.1884080765638885,,,1.0,23.023380139782617,1.0,22.929493612352942,,,1.0,22.609498428613584
51,51,229.22983011723232,5.189815012090405,,,1.0,20.37309023902561,1.0,19.98394909141076,,,1.0,19.542624299170228
52,52,229.20218527079828,5.191074281964075,,,1.0,21.861441123132703,1.0,21.306078806443736,1.0,21.053828783645127,1.0,20.89279685130018
53,53,229.2327918074348,5.192405907790946,,,1.0,21.704723074607,1.0,20.342978167151745,1.0,19.791644886141263,1.0,18.850888056451453
54,54,229.19858276635503,5.19192300249128,,,1.0,25.31525425754893,1.0,23.902458890381084,1.0,,1.0,23.11051129137251
55,55,229.2252316497435,5.192308210252275,,,1.0,22.71335793819872,1.0,21.58375333404085,1.0,21.202762470766853,1.0,20.71263695303633
56,56,229.23550549697134,5.192761441593661,,,1.0,24.50301464844816,1.0,22.93411277262577,1.0,22.599264204945296,1.0,22.083585804389344
57,57,229.21334265771333,5.193248357609048,,,1.0,23.42285445637017,1.0,23.095693621719093,1.0,23.062344254027902,1.0,22.854116589392284
58,58,229.2179425785,5.193378571894782,,,1.0,22.02208623568421,1.0,21.560395412184267,1.0,21.39031073514279,1.0,21.04846459990884
59,59,229.23426481587904,5.194298066478602,,,1.0,25.408255041117062,1.0,23.45621832929469,1.0,22.91185384342148,1.0,22.945512736071244
60,60,229.21145107762743,5.1946312402229005,,,1.0,22.461301464318066,1.0,22.255873774545133,1.0,22.131236535107327,1.0,21.809277721703918
61,61,229.23795374250085,5.203466816183676,,,1.0,15.747868401818565,,,1.0,14.546283652577635,1.0,14.171841522927352
62,62,229.2076267424035,5.196699516741164,,,1.0,23.653147545402263,1.0,22.877658193773232,1.0,22.92714918350781,1.0,22.810802680913763
63,63,229.22342718338837,5.197266032124127,,,1.0,24.1263988584701,1.0,23.560063808347596,1.0,23.11451335339097,1.0,22.220813577561167
64,64,229.22888694926934,5.197879548837094,,,1.0,22.96074431354308,1.0,22.410675084828053,1.0,21.494423209130066,1.0,21.16403528869942
65,65,229.20323017446395,5.199194768996871,,,1.0,25.15948896241698,1.0,22.7530638764055,1.0,21.50089598366745,1.0,20.486978082828514
66,66,229.22884184315845,5.200849118322875,,,1.0,23.94774806895887,1.0,23.610809501618416,1.0,23.44646661372215,1.0,23.00781258019726
67,67,229.21382330095173,5.202283598228605,,,1.0,22.644085571537165,1.0,22.58301053608093,1.0,22.323466877850752,1.0,22.325075904549607
68,68,229.21200381585425,5.204442482648031,,,1.0,22.572296416319688,1.0,22.012965779907123,1.0,21.40387286267222,1.0,21.383575660316
69,69,229.22281893695822,5.205428464838414,,,1.0,19.580581798790803,1.0,19.102807531456406,1.0,18.58693682145613,1.0,18.40654869326599
